2026-06-03 08:33:26,569 | INFO | Ejecutando job 'sync_trades' [aggressive_hybrid_v1_3_tp5_sl3_directional_robust]: C:\Users\USER\Documentos\Maestria\Mark-III\.venv\Scripts\python.exe main_pipeline.py --mode sync_trades --config C:\Users\USER\Documentos\Maestria\Mark-III\config\config_optimizado_20260519_223006.yaml
2026-06-03 08:33:37,375 | INFO | Riesgo sync_trades [aggressive_hybrid_v1_3_tp5_sl3_directional_robust]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:33:37,384 | INFO | Job 'sync_trades' completado.
2026-06-03 08:34:14,556 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:34:15,251 | INFO | Riesgo monitor_runtime [aggressive_hybrid_v1_3_tp5_sl3]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:34:26,561 | INFO | Ejecutando job 'sync_trades' [aggressive_hybrid_v1_3_tp5_sl3_directional_robust]: C:\Users\USER\Documentos\Maestria\Mark-III\.venv\Scripts\python.exe main_pipeline.py --mode sync_trades --config C:\Users\USER\Documentos\Maestria\Mark-III\config\config_optimizado_20260519_223006.yaml
2026-06-03 08:34:33,494 | INFO | Riesgo sync_trades [aggressive_hybrid_v1_3_tp5_sl3_directional_robust]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:34:33,494 | INFO | Job 'sync_trades' completado.
2026-06-03 08:34:45,182 | INFO | Riesgo monitor_runtime [aggressive_hybrid_v1_3_tp5_sl3]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:35:14,556 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:35:15,022 | INFO | Riesgo monitor_runtime [aggressive_hybrid_v1_3_tp5_sl3]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
